"dig","scheme","code"
0,"A","0001101"
1,"A","0011001"
2,"A","0010011"
3,"A","0111101"
4,"A","0100011"
5,"A","0110001"
6,"A","0101111"
7,"A","0111011"
8,"A","0110111"
9,"A","0001011"
0,"B","0100111"
1,"B","0110011"
2,"B","0011011"
3,"B","0100001"
4,"B","0011101"
5,"B","0111001"
6,"B","0000101"
7,"B","0010001"
8,"B","0001001"
9,"B","0010111"
0,"RIGHT","1110010"
1,"RIGHT","1100110"
2,"RIGHT","1101100"
3,"RIGHT","1000010"
4,"RIGHT","1011100"
5,"RIGHT","1001110"
6,"RIGHT","1010000"
7,"RIGHT","1000100"
8,"RIGHT","1001000"
9,"RIGHT","1110100"
